# object_name   ref_object  relative_x relative_y 
King_31597   Bishop_7332  19491 -151093 
Queen_31598   King_510  115288 -75695 
King_31599   King_13040  -97061 -249795 
Bishop_31600   Bishop_8973  -64994 91232 
Bishop_31601   King_275  -180520 -97415 
Rook_31602   Rook_25779  -37267 13620 
King_31603   Queen_14597  57521 -268439 
Queen_31604   Rook_14267  15851 125847 
Queen_31605   Knight_6860  13403 61532 
Rook_31606   King_23698  112901 35975 
Queen_31607   Rook_906  76541 -281597 
Knight_31608   King_23705  213904 77364 
Rook_31609   Rook_28546  47687 -33796 
Bishop_31610   King_2370  -67980 71289 
King_31611   Rook_1560  -81223 40303 
Bishop_31612   Knight_26115  -6970 -41051 
Queen_31613   Rook_4148  65830 139660 
King_31614   King_1689  -13731 -101774 
King_31615   Queen_31230  25969 23743 
King_31616   King_26321  -16323 188121 
Bishop_31617   Queen_4924  22117 -47484 
Knight_31618   Rook_6363  -1700 -144758 
Knight_31619   Bishop_1843  -210286 -89535 
Knight_31620   Queen_3273  -124065 73971 
Rook_31621   Queen_22177  3035 228879 
King_31622   Bishop_24336  -5426 -135558 
Queen_31623   Rook_6218  69652 184498 
Knight_31624   King_22683  -39687 -196712 
Knight_31625   Queen_18360  -110573 197727 
Bishop_31626   Bishop_26109  -100997 -10942 
Queen_31627   King_27191  -73185 126248 
Bishop_31628   King_14218  178093 97145 
Bishop_31629   Bishop_5487  -32073 -65550 
Knight_31630   Knight_781  -46064 91949 
Knight_31631   King_12527  134168 -96726 
Rook_31632   Rook_15651  156787 19150 
Queen_31633   King_31301  124313 -39381 
Queen_31634   Knight_12417  -62660 107797 
Bishop_31635   King_14649  -151315 -51731 
Rook_31636   Queen_30735  -50369 28810 
Knight_31637   Queen_29539  -245266 254998 
Rook_31638   Knight_3890  118830 88315 
Knight_31639   Rook_20708  25073 129887 
Queen_31640   Knight_21422  -129020 -24498 
Queen_31641   Knight_15899  89464 -165237 
Queen_31642   Bishop_21925  230188 -248843 
King_31643   Bishop_20566  190596 -119319 
Knight_31644   Knight_29901  -167578 22982 
Knight_31645   Bishop_22403  7586 186282 
King_31646   Rook_958  -18331 -131421 
Queen_31647   Queen_2659  16564 23909 
Knight_31648   Rook_19202  55445 77921 
Bishop_31649   Bishop_22851  34173 -60283 
Knight_31650   Knight_1301  -85152 44675 
Queen_31651   Bishop_12458  255496 -118042 
Knight_31652   Rook_14570  -55691 -153900 
Rook_31653   Queen_11775  -234151 98405 
Queen_31654   King_14126  -128491 -19883 
Bishop_31655   Bishop_11338  -151372 -134455 
Bishop_31656   King_6631  -135190 212557 
Queen_31657   Bishop_11502  -52649 -159098 
Rook_31658   Queen_30912  -99717 -93038 
Rook_31659   King_7368  261586 -178784 
Queen_31660   Rook_26943  139982 -23097 
Rook_31661   Bishop_21502  222478 -225354 
Rook_31662   Rook_3341  -177247 59531 
Rook_31663   Queen_18800  170660 202679 
Bishop_31664   Bishop_17388  19546 -242696 
Rook_31665   Queen_18104  44674 118014 
Rook_31666   King_20055  133827 212269 
King_31667   King_12950  19836 -166823 
Bishop_31668   Knight_4811  -92051 31895 
Queen_31669   Rook_3303  126918 -186009 
Rook_31670   Queen_24533  50028 1714 
Queen_31671   Rook_22563  122838 -83341 
Rook_31672   Rook_27877  -107754 120958 
Bishop_31673   Bishop_14057  -58070 750 
Queen_31674   Queen_30860  145092 32334 
Bishop_31675   Knight_258  126980 -54727 
Knight_31676   Queen_1377  184234 -51201 
Queen_31677   Queen_25945  32138 253003 
King_31678   Queen_21086  -171021 186907 
Rook_31679   King_2763  -81774 -154862 
Knight_31680   Knight_19007  128170 159624 
Knight_31681   Bishop_5416  52272 -15280 
Bishop_31682   Queen_19226  26164 2969 
Knight_31683   Rook_15870  -99718 -73098 
Bishop_31684   Rook_16469  60224 73837 
Bishop_31685   Bishop_26418  -174697 88976 
Queen_31686   King_22386  13444 -137508 
Queen_31687   King_7633  64826 49671 
Queen_31688   Queen_15885  -4555 78249 
Bishop_31689   Rook_10204  175578 93622 
Bishop_31690   Queen_10684  -229028 125114 
Rook_31691   King_9401  27688 19475 
Bishop_31692   Bishop_26577  31571 197506 
King_31693   Bishop_6648  -99251 71597 
Knight_31694   Bishop_9563  -24925 247176 
Queen_31695   Knight_26871  137226 29217 
Queen_31696   Knight_6579  6469 21873 
King_31697   Queen_26678  146964 40232 
Queen_31698   King_14394  -52682 -1777 
Knight_31699   Queen_19  917 -200991 
Knight_31700   Rook_316  -71066 -169648 
Queen_31701   Bishop_19104  1105 -107300 
Rook_31702   King_4241  143187 86550 
Rook_31703   King_21940  -104845 38621 
Bishop_31704   Queen_19658  94237 -134517 
Knight_31705   Rook_26610  199511 132706 
King_31706   King_6635  -129467 -23617 
Bishop_31707   Rook_14570  -111626 -97497 
Rook_31708   King_3248  -104192 -176528 
Bishop_31709   King_9083  101158 -183931 
Queen_31710   Queen_28901  70122 169130 
Rook_31711   Queen_26217  94726 -113995 
Queen_31712   Queen_11122  30992 101811 
Queen_31713   Rook_27314  -18259 -17629 
Knight_31714   Knight_27658  -40483 179169 
Queen_31715   Knight_3846  -8596 -165322 
Rook_31716   Queen_7001  69334 163740 
King_31717   King_14443  -218778 -100025 
Rook_31718   Knight_5333  -220983 -114110 
Bishop_31719   King_3166  7586 19687 
Rook_31720   Knight_12255  74178 -42131 
King_31721   Knight_28196  46809 167862 
Knight_31722   Knight_22209  60939 110477 
Queen_31723   Queen_6305  -158058 119516 
King_31724   King_30067  -72798 86577 
Knight_31725   Rook_13978  -143589 -137224 
Bishop_31726   Queen_901  -128216 -99265 
Bishop_31727   Knight_13612  -123273 -66823 
Bishop_31728   King_25562  152241 158023 
King_31729   Rook_28462  -209781 2292 
Knight_31730   Bishop_10267  -78635 -171000 
King_31731   Queen_2198  -1250 -40049 
Queen_31732   Bishop_28593  -10804 -63953 
Rook_31733   Rook_3130  155157 -65294 
King_31734   Rook_14225  -154751 -126241 
Rook_31735   Queen_2375  57056 174222 
Bishop_31736   King_2909  22711 42309 
Queen_31737   Knight_29049  -286267 51742 
King_31738   Queen_29143  -11276 -37191 
King_31739   King_19065  -92748 81510 
King_31740   Rook_13603  -80322 4641 
King_31741   King_27736  50160 -227122 
Rook_31742   King_21243  -159728 92223 
Queen_31743   Bishop_23917  40665 -17047 
Knight_31744   Queen_6399  -157506 50863 
Bishop_31745   Knight_27915  118386 49155 
King_31746   King_13162  94632 -11343 
Rook_31747   King_15791  38314 191009 
King_31748   King_7136  120254 -33616 
King_31749   Rook_25720  -14111 -131279 
Knight_31750   Knight_16326  2505 -128894 
Bishop_31751   Queen_23507  84632 76328 
Bishop_31752   Knight_30459  -100375 167262 
Knight_31753   King_13695  -52442 -143615 
Knight_31754   King_26436  97669 45718 
Bishop_31755   King_9428  -252563 88978 
Queen_31756   Bishop_8867  146149 93879 
Bishop_31757   Bishop_10664  19922 -223527 
Knight_31758   Bishop_11400  33758 -139083 
Knight_31759   Rook_14727  194290 7279 
Queen_31760   Queen_15945  14404 21905 
Rook_31761   King_17684  125562 168830 
Knight_31762   King_25919  48041 185416 
Knight_31763   Knight_12757  -107958 -267803 
Knight_31764   Queen_12814  264 129669 
Rook_31765   Bishop_27109  145833 -159633 
Bishop_31766   Bishop_329  -100086 -155028 
Knight_31767   Queen_2300  -40792 33911 
Rook_31768   Queen_15945  -4384 -151945 
Rook_31769   Knight_11731  -140362 188806 
Queen_31770   Rook_27140  284722 92309 
Rook_31771   Rook_4831  -28652 -73130 
King_31772   King_5221  118813 161948 
Knight_31773   Bishop_15893  -18558 68982 
Rook_31774   Rook_20903  204431 -91705 
Queen_31775   Bishop_29108  -101293 170483 
Knight_31776   Knight_12602  279148 254878 
Rook_31777   Queen_15473  21207 110636 
Bishop_31778   Queen_5119  -253746 61316 
Rook_31779   King_20005  -83178 6764 
Rook_31780   Queen_22374  -125706 -127977 
Queen_31781   King_13415  -70564 72658 
King_31782   King_28198  55778 108917 
Queen_31783   Queen_29788  -85013 14105 
Bishop_31784   Rook_3018  -117232 183701 
King_31785   Bishop_11368  68396 -38356 
Queen_31786   Rook_3188  -160603 -98940 
Rook_31787   Queen_4459  -160438 -46393 
Bishop_31788   Rook_8522  162416 -31082 
Bishop_31789   King_12362  -41495 -65161 
Bishop_31790   Bishop_21465  -142966 87782 
Queen_31791   Queen_2607  160484 71892 
King_31792   Knight_30356  59161 -4939 
Bishop_31793   Knight_19589  11080 24437 
Rook_31794   Knight_3634  58253 -166346 
Rook_31795   Knight_30314  -77447 -72733 
King_31796   Bishop_25464  66766 60360 
Bishop_31797   Rook_10941  80780 17035 
Knight_31798   Rook_23363  70594 16022 
Rook_31799   King_22176  -5857 52859 
Queen_31800   King_28291  -39520 160063 
King_31801   King_3119  -34595 246539 
King_31802   Knight_9304  -2150 24819 
Rook_31803   Bishop_21759  -151899 -82115 
Rook_31804   Knight_7379  -17395 50443 
Rook_31805   Queen_18119  -27956 -247091 
King_31806   Rook_4356  -142305 -144985 
King_31807   Rook_28680  -78615 -7920 
Bishop_31808   Rook_23816  -167554 133182 
Bishop_31809   Knight_23503  -159527 17404 
King_31810   Queen_14272  -82506 230488 
Rook_31811   Knight_26444  42868 -140832 
Bishop_31812   Queen_13086  57843 168008 
Bishop_31813   Bishop_17388  64762 -40301 
Knight_31814   King_14519  -169344 -13698 
King_31815   Bishop_16970  -176214 145450 
Knight_31816   Queen_27612  -60748 -98753 
Rook_31817   Bishop_9118  170225 -21818 
Bishop_31818   Queen_27330  148237 -52199 
Rook_31819   King_30087  -29722 -71761 
Bishop_31820   Queen_4778  214021 -171943 
Queen_31821   King_28098  6506 -117676 
Rook_31822   Rook_26780  -65790 -59030 
King_31823   Rook_22004  130717 152089 
Knight_31824   Rook_7618  -131629 7337 
Queen_31825   King_15843  150003 55637 
Bishop_31826   Queen_30413  -3059 -136171 
Queen_31827   Queen_29524  -188767 6192 
King_31828   Knight_9050  31554 18724 
Bishop_31829   King_23018  -209135 41123 
Queen_31830   King_9612  -211941 -27079 
King_31831   Bishop_26147  96808 -39477 
Bishop_31832   Queen_15844  163689 54659 
Queen_31833   Rook_30117  -146932 -56654 
Knight_31834   Queen_1179  132153 -225727 
King_31835   King_25660  60546 13449 
Rook_31836   Bishop_29725  13959 47710 
King_31837   Knight_17920  -144353 -19278 
King_31838   King_12382  92341 -81015 
King_31839   Queen_29827  48742 -111664 
Queen_31840   Bishop_19859  -135813 43923 
Rook_31841   Knight_15344  -23226 -159789 
Knight_31842   Bishop_2542  37148 136539 
Bishop_31843   Rook_27107  -169164 -58990 
Knight_31844   Queen_5329  -5524 -197779 
Rook_31845   Rook_3547  -116121 115887 
Knight_31846   Queen_19834  3693 61118 
King_31847   King_17528  -153573 75528 
Rook_31848   Knight_9560  -107689 -180910 
Bishop_31849   Rook_12113  -85806 -52787 
Queen_31850   Bishop_30813  -94325 -22267 
King_31851   Queen_29155  -205676 251745 
Bishop_31852   Queen_19151  41719 206466 
Rook_31853   King_20944  26069 49506 
Bishop_31854   Bishop_21394  -103474 -59770 
Knight_31855   Queen_21246  -141759 -10122 
Rook_31856   Knight_21978  25803 129926 
King_31857   King_9595  -50582 -20388 
Knight_31858   Queen_18433  4686 -14118 
Knight_31859   Bishop_17119  -103452 220549 
Knight_31860   King_12720  -189392 101100 
Knight_31861   Rook_21968  -113354 171482 
Bishop_31862   Knight_27377  2345 201110 
King_31863   Knight_7437  17041 76418 
King_31864   Queen_12879  -174205 -30631 
King_31865   Bishop_20153  49168 7350 
Bishop_31866   Bishop_10790  103641 -134153 
Knight_31867   Bishop_3209  104284 17346 
Queen_31868   Bishop_30289  -142546 101712 
Knight_31869   Bishop_2044  -125562 67253 
Rook_31870   King_15432  -130785 -184664 
King_31871   Bishop_28702  -39397 -47306 
Queen_31872   Knight_30445  29755 83273 
Knight_31873   Queen_23025  247581 -108790 
King_31874   Rook_24188  -168011 65793 
Rook_31875   Rook_15900  85868 -67878 
King_31876   Bishop_15137  -171763 -87268 
Rook_31877   Rook_24110  118151 114075 
Rook_31878   King_1897  30793 172595 
Queen_31879   King_31599  23244 31848 
Rook_31880   King_2046  170150 -55428 
Queen_31881   King_24952  169230 68294 
Queen_31882   Rook_6166  196230 88571 
Rook_31883   Queen_28592  -93943 -79407 
Knight_31884   King_30913  -172341 52195 
King_31885   Queen_11742  -248191 55336 
King_31886   Knight_9807  -168999 -321 
Knight_31887   Rook_25351  8176 248514 
Bishop_31888   Bishop_22830  159328 -90236 
Queen_31889   King_28599  137617 -129114 
Rook_31890   Rook_13035  -2325 38060 
Knight_31891   Rook_19696  -146785 -119850 
Bishop_31892   Rook_16461  7046 21627 
Bishop_31893   Bishop_23972  100487 19641 
Rook_31894   Bishop_3611  58561 144581 
Bishop_31895   Rook_20412  150691 62675 
Rook_31896   Knight_15800  25239 -129248 
Queen_31897   Knight_24289  87338 -25593 
Rook_31898   Rook_4769  -192630 126325 
Knight_31899   Bishop_15701  20779 -246060 
Queen_31900   King_10308  180638 -154753 
Rook_31901   Knight_3812  51766 -43398 
Queen_31902   Rook_26618  -69542 165607 
Knight_31903   Knight_17895  -156021 -208708 
Queen_31904   King_27931  132079 -95218 
Queen_31905   King_26374  -41722 -3474 
King_31906   Queen_28304  105596 -96092 
Bishop_31907   Bishop_10555  31596 -76079 
Queen_31908   Knight_5347  45429 60978 
Queen_31909   Queen_29154  -9468 -96299 
Bishop_31910   King_729  199211 155509 
Bishop_31911   Rook_17640  -43715 -48611 
Queen_31912   Knight_4008  107461 -191345 
King_31913   Bishop_17209  -2294 29287 
Bishop_31914   King_22229  -99505 76637 
Queen_31915   Queen_18460  112150 171958 
Knight_31916   Rook_15468  -195851 70348 
Queen_31917   Queen_31074  -205382 -36086 
Bishop_31918   Knight_15616  -205356 -7064 
Rook_31919   Queen_14705  185066 -47432 
Rook_31920   Rook_5766  -7092 186966 
King_31921   Queen_27337  -262429 123559 
Knight_31922   Rook_14095  -239767 -144394 
King_31923   Bishop_24088  45346 27064 
Queen_31924   Queen_774  64613 -98678 
Knight_31925   Bishop_10686  175194 -174951 
Knight_31926   Queen_25832  77534 -97077 
Bishop_31927   Rook_24290  71014 96102 
Queen_31928   Knight_11030  88702 -36328 
Bishop_31929   Queen_7308  -73118 -7717 
Rook_31930   Bishop_25881  -232358 -2551 
Queen_31931   Knight_25157  84191 -34497 
Queen_31932   Bishop_12999  124742 87781 
Rook_31933   Queen_14494  77479 38089 
Rook_31934   Rook_14564  17283 -45507 
King_31935   Bishop_13130  -9465 -108499 
Bishop_31936   Knight_26487  101253 85606 
Knight_31937   Rook_7482  -71593 8299 
Rook_31938   Knight_29871  22900 227602 
Rook_31939   Bishop_2163  6506 -102773 
Knight_31940   Queen_26560  49059 -18977 
Queen_31941   Bishop_7059  172919 132107 
King_31942   King_11127  70917 -194886 
Queen_31943   King_20528  -85846 22787 
Bishop_31944   Knight_1899  67050 24161 
Knight_31945   Bishop_30569  126789 37505 
Queen_31946   Knight_8629  108947 -20318 
Rook_31947   Rook_21525  122750 159297 
Knight_31948   Rook_30829  -192026 188916 
Rook_31949   Queen_22970  119911 99237 
Knight_31950   Queen_15798  -45216 79596 
Queen_31951   Bishop_31719  60903 -143143 
Rook_31952   King_15457  14069 201241 
Queen_31953   Bishop_7174  -131833 5896 
Knight_31954   Bishop_23089  -75757 -178324 
Rook_31955   Knight_22870  218492 119343 
King_31956   Bishop_7172  -38228 -62173 
King_31957   Rook_21988  -148087 203385 
Bishop_31958   Knight_6402  141137 86931 
Bishop_31959   Queen_18097  -35799 -278255 
Bishop_31960   Knight_28367  -87216 -85584 
Bishop_31961   Rook_2586  150517 -91715 
Bishop_31962   King_447  52006 -114201 
Knight_31963   Queen_15049  -66800 -27421 
Bishop_31964   Rook_20824  90642 -22084 
Knight_31965   Knight_16336  19454 266318 
Knight_31966   Queen_24796  -176552 -95121 
Rook_31967   Rook_25867  23671 -175417 
Rook_31968   Knight_10290  212541 31200 
Queen_31969   Knight_9407  242816 -44645 
Rook_31970   Queen_28090  -59055 -89487 
Queen_31971   Queen_1082  -42746 -149167 
Knight_31972   Bishop_24898  174235 9427 
Knight_31973   Knight_21623  -114678 32457 
Bishop_31974   Bishop_16145  -147550 100572 
Bishop_31975   Bishop_8236  15904 33638 
Queen_31976   King_18885  67545 17766 
Rook_31977   King_18035  270298 -50243 
Rook_31978   Queen_29413  138286 -192771 
Knight_31979   Rook_11596  -65380 -114835 
King_31980   Queen_304  -134403 22826 
Knight_31981   Knight_13437  -213349 -131097 
King_31982   King_4915  84809 -219381 
Queen_31983   King_18201  -85816 99282 
Knight_31984   Knight_2278  -62200 -48037 
King_31985   Rook_7752  -55619 25631 
Queen_31986   Queen_24045  -33680 99847 
Knight_31987   Knight_21847  184158 102051 
Knight_31988   Knight_22449  139020 70316 
Knight_31989   Rook_10003  -140560 -170120 
Bishop_31990   Queen_12285  276380 -72242 
Knight_31991   Rook_25151  43519 -16516 
Queen_31992   Rook_10474  -153725 -49110 
Rook_31993   Knight_28345  -11766 -114328 
King_31994   Bishop_24201  94719 -239765 
Bishop_31995   Rook_21321  -14587 -159245 
Rook_31996   Queen_3390  -237750 39914 
King_31997   King_24035  4680 -97680 
Rook_31998   King_30028  102237 253809 
King_31999   Queen_30509  -83535 -197878 
Bishop_32000   Knight_10994  120476 104981 
Knight_32001   Bishop_31057  151788 192847 
Rook_32002   Knight_973  247047 -160323 
Rook_32003   King_23220  -82496 9035 
King_32004   Rook_18897  192651 67899 
Rook_32005   Rook_19075  90009 -17552 
Rook_32006   Knight_27037  141010 -50216 
Knight_32007   Knight_1816  21693 245185 
Queen_32008   Knight_15932  -12862 -128816 
Knight_32009   Knight_13133  -65208 155334 
King_32010   Bishop_30204  -213525 -183911 
Knight_32011   Knight_24225  -191934 -19595 
Rook_32012   Queen_28000  -105516 -205735 
Knight_32013   Rook_30840  -27034 -109624 
Rook_32014   King_23855  247768 41206 
King_32015   Queen_15762  111099 72218 
Knight_32016   King_16102  -33286 63854 
Knight_32017   Queen_21727  -105346 -35965 
King_32018   Bishop_28230  -24812 38160 
Rook_32019   Rook_24376  -11845 -7560 
Knight_32020   Rook_1059  137539 12303 
Knight_32021   Rook_20192  -62269 202617 
Knight_32022   Bishop_29442  6951 61242 
Rook_32023   Knight_23569  54370 -74200 
King_32024   Queen_6224  -102464 -55828 
Bishop_32025   Bishop_2033  13459 -58511 
King_32026   King_16932  169765 50260 
Knight_32027   King_4134  -52010 -149843 
Bishop_32028   Rook_25591  59140 -231475 
Knight_32029   Knight_5561  -31498 -81290 
Queen_32030   Rook_18008  219572 -112213 
King_32031   Knight_31535  35150 -65608 
Knight_32032   Bishop_13979  41713 -112245 
King_32033   Queen_19335  -219012 245909 
Bishop_32034   Knight_31867  -88326 74837 
Rook_32035   Queen_10552  113011 -97245 
Queen_32036   Knight_4838  266559 -196322 
Knight_32037   Bishop_25010  5737 33182 
Knight_32038   King_21311  -244319 -76365 
Queen_32039   Rook_14243  59938 71295 
Bishop_32040   Bishop_2624  194513 -12524 
Bishop_32041   Rook_22590  -25136 -122309 
King_32042   Rook_10425  -138292 -7318 
Rook_32043   King_21747  88654 -50346 
King_32044   King_24747  -266239 52422 
Rook_32045   Bishop_14923  42676 -154128 
Knight_32046   Rook_25276  -29857 -104166 
Queen_32047   Queen_29508  -15208 -36875 
King_32048   Knight_19950  -263571 -52330 
Bishop_32049   Bishop_14973  -265720 175032 
Bishop_32050   King_23241  225441 61205 
Bishop_32051   Queen_6835  -174684 -168994 
King_32052   Knight_27044  47888 16822 
Rook_32053   Knight_11278  207241 -15740 
Bishop_32054   Bishop_19043  8920 181517 
King_32055   Bishop_21668  -231071 -237841 
King_32056   Rook_7264  -132312 -105012 
King_32057   Knight_10283  -169045 -32829 
Bishop_32058   King_8393  4482 -149284 
Knight_32059   Queen_7971  141036 186250 
Rook_32060   Queen_15326  -26943 -142894 
King_32061   Queen_4745  76567 -227287 
Bishop_32062   Queen_29546  166158 254026 
Rook_32063   King_23068  121733 -74076 
Rook_32064   Knight_15647  -55517 79030 
Bishop_32065   Rook_8677  -62114 -98523 
King_32066   King_14228  197406 -84666 
Bishop_32067   Knight_12819  177159 27323 
Bishop_32068   King_8256  -14898 -199572 
Rook_32069   Queen_11403  61794 71637 
Rook_32070   Knight_3176  -14292 -88616 
Knight_32071   King_17449  -17176 -84461 
Bishop_32072   Rook_29891  -58165 -59352 
Queen_32073   Queen_23336  -1025 -142649 
Bishop_32074   King_24735  -36621 -155784 
Queen_32075   Rook_22863  111184 -21469 
King_32076   Knight_17127  -3974 -150049 
Bishop_32077   Rook_12412  -18856 -135709 
Bishop_32078   Rook_24561  -15427 -23933 
Rook_32079   Bishop_10443  -83776 -172440 
Rook_32080   King_29611  54971 -131058 
Knight_32081   Bishop_10059  -104096 68782 
Knight_32082   Queen_14405  -128724 -255776 
Rook_32083   King_6029  20486 173467 
Queen_32084   King_5287  -59084 -34667 
Queen_32085   Knight_1732  48877 -137444 
King_32086   Rook_2952  49102 56542 
King_32087   King_26443  10602 -45095 
Rook_32088   Rook_23994  -646 -15739 
King_32089   Rook_29273  -123095 143757 
Bishop_32090   King_14930  -65075 128129 
Rook_32091   Knight_20907  -134610 96446 
Queen_32092   King_18638  85889 171497 
Queen_32093   Rook_10729  5219 -36782 
Rook_32094   Bishop_12987  33433 180906 
Bishop_32095   Bishop_5934  -101576 -126456 
Bishop_32096   Rook_7863  -134454 34049 
Knight_32097   Knight_7243  -107146 -236556 
Bishop_32098   Rook_10204  130208 54128 
King_32099   Queen_15275  188015 -78258 
Queen_32100   King_20061  -52305 241574 
Queen_32101   Knight_11317  -28610 205085 
King_32102   Bishop_3913  28936 -122815 
Queen_32103   King_18976  -29530 -87821 
Knight_32104   Bishop_28829  -61483 3502 
Rook_32105   Bishop_20250  -9872 21141 
Rook_32106   King_11902  -198970 143851 
Bishop_32107   Rook_8474  121765 3029 
King_32108   Queen_9100  117747 -2171 
Queen_32109   Knight_4068  23945 -67151 
King_32110   Queen_2194  -92632 -16429 
Queen_32111   Rook_11402  -13372 -166900 
Bishop_32112   Queen_14869  -476 -143863 
Queen_32113   Bishop_29758  27375 23469 
King_32114   Queen_3599  55502 -49079 
Knight_32115   King_21242  54592 140959 
Queen_32116   Bishop_26969  -279138 -21099 
Knight_32117   Knight_6546  -171817 -47257 
Rook_32118   Knight_14852  -8750 -20793 
Bishop_32119   King_8780  23490 -140130 
Bishop_32120   Bishop_8468  -24574 69624 
King_32121   Bishop_21100  -229684 111373 
King_32122   Queen_27010  16869 -181908 
Rook_32123   Queen_26101  49753 2067 
Bishop_32124   Bishop_27233  -55471 -59625 
Bishop_32125   King_991  49957 42387 
Rook_32126   Queen_19269  3995 -62299 
Knight_32127   Rook_24337  -56728 6641 
Bishop_32128   King_8524  3220 223844 
Rook_32129   Bishop_17396  60521 -44196 
Rook_32130   Knight_20666  -36748 -25356 
Queen_32131   Bishop_12406  -44474 -170008 
King_32132   Rook_2344  85811 154805 
Knight_32133   Queen_10816  65576 -29239 
Bishop_32134   King_16766  59115 -20972 
Queen_32135   Queen_30451  128305 105670 
Knight_32136   Queen_12669  33270 122728 
Rook_32137   Rook_1178  75599 -78085 
Bishop_32138   King_16345  -126599 162268 
Bishop_32139   Rook_1181  -82712 -237114 
Knight_32140   Queen_6714  -54830 226129 
Bishop_32141   King_25984  174279 -190243 
Rook_32142   Knight_25279  -64861 -169707 
Rook_32143   Bishop_19128  -23050 -4412 
Rook_32144   King_9350  110830 -64340 
Rook_32145   Bishop_21164  -150718 -72362 
King_32146   Knight_29001  -181416 -192357 
Queen_32147   Queen_21015  -74257 -140797 
Bishop_32148   Bishop_26577  -65849 160934 
Rook_32149   Queen_7641  -23356 12213 
Bishop_32150   Rook_28365  122510 52760 
Queen_32151   King_3269  244946 198490 
King_32152   Knight_25252  -100977 -186047 
Bishop_32153   Knight_28275  -149498 70347 
Knight_32154   Bishop_4751  -126149 -21712 
King_32155   Queen_30943  111920 -112557 
Rook_32156   King_22393  -196853 -34209 
Rook_32157   Knight_14375  -66303 -66826 
Rook_32158   Rook_24274  92572 38862 
Knight_32159   Rook_27066  18451 -242404 
Knight_32160   King_5268  -70937 133688 
Bishop_32161   Bishop_21767  -14729 120892 
Knight_32162   Rook_971  -105596 -218448 
King_32163   Bishop_17553  -177763 69670 
Rook_32164   Bishop_11594  14317 62797 
King_32165   Queen_31082  -105983 -176732 
Queen_32166   King_24748  20162 -29282 
King_32167   Rook_20754  -3783 281245 
Rook_32168   Knight_16648  8996 169628 
Knight_32169   King_22211  111957 8765 
Queen_32170   Bishop_6352  -24815 101946 
King_32171   Knight_3602  -18369 -222371 
Knight_32172   Bishop_20046  70913 -157209 
Queen_32173   Knight_25245  -88075 -104926 
Queen_32174   Knight_18573  171789 130168 
Knight_32175   Knight_16288  25482 -129835 
King_32176   Knight_5259  199948 -178214 
King_32177   King_9131  -172453 -165080 
King_32178   Bishop_945  -17138 -4956 
Bishop_32179   Rook_5034  199659 125674 
King_32180   Knight_31631  -90302 179020 
King_32181   Queen_16557  114135 -15334 
Knight_32182   Rook_9463  16366 -104051 
Knight_32183   King_31125  188228 -19626 
Queen_32184   Rook_2696  -164246 -55331 
King_32185   Bishop_22626  -86795 5136 
Queen_32186   Rook_1723  -13916 -209311 
King_32187   Bishop_17700  68873 -133115 
Knight_32188   Knight_31282  91014 57266 
Knight_32189   King_30871  27351 101335 
Bishop_32190   Rook_30566  58173 112300 
King_32191   Queen_23893  -20435 -55820 
King_32192   Queen_28865  260072 -272306 
Bishop_32193   King_32066  -149758 24500 
Bishop_32194   King_24596  96792 109351 
Bishop_32195   King_1318  176980 3261 
Rook_32196   Queen_9031  232993 -93083 
Knight_32197   Knight_17738  -105093 -58204 
Bishop_32198   King_16323  20747 115699 
Knight_32199   Knight_23463  181632 -142252 
King_32200   Rook_25209  -60823 99223 
Knight_32201   Rook_7643  -94305 38028 
Knight_32202   Bishop_16142  -113198 10118 
King_32203   Queen_29435  91888 -202335 
Knight_32204   Bishop_7742  167086 114356 
King_32205   Queen_14296  -79080 -207125 
Queen_32206   Rook_14225  -34418 16506 
Bishop_32207   Queen_6729  104304 -32656 
King_32208   Bishop_3690  -71815 139059 
King_32209   Bishop_22099  -114266 215541 
King_32210   Bishop_1110  148792 -168573 
Rook_32211   Queen_9831  260282 72605 
Knight_32212   Rook_22808  -40949 140369 
Queen_32213   Queen_21497  -45247 43190 
Bishop_32214   Queen_8763  278556 73516 
King_32215   King_17946  -178510 -135960 
King_32216   Knight_17691  -198191 96816 
Rook_32217   Bishop_21996  -57489 -19438 
Queen_32218   Queen_29543  -155032 -53052 
Queen_32219   Queen_16359  53682 -242642 
Rook_32220   Queen_30596  108470 50783 
Rook_32221   Knight_2200  105970 -147748 
Queen_32222   Queen_24024  -128742 9128 
King_32223   Queen_27972  41105 168224 
Rook_32224   Queen_26761  23307 20587 
Queen_32225   Queen_27664  27462 -89126 
Queen_32226   King_1509  -149654 198339 
Rook_32227   King_18968  -2212 106597 
Knight_32228   Queen_5862  210788 -110149 
King_32229   King_25666  65257 -170933 
Knight_32230   Queen_6254  33083 73165 
Rook_32231   Queen_6403  233805 136197 
Knight_32232   Queen_18995  -22498 -30717 
Knight_32233   Knight_5860  -144068 -10407 
King_32234   Rook_27611  116405 -6931 
Rook_32235   Rook_24152  258781 17788 
Knight_32236   Knight_21877  83356 -125208 
Bishop_32237   Knight_21445  -125766 -6551 
Rook_32238   Queen_11379  -42611 239425 
Rook_32239   Bishop_5036  -116955 4396 
Knight_32240   King_990  201219 10568 
Rook_32241   Bishop_2033  -30492 -95097 
Queen_32242   Bishop_24833  36453 -44285 
Rook_32243   Knight_16841  103066 123620 
Rook_32244   King_24471  141622 -55821 
